100,100,NA
1,16.73143,58.69293
2,40.47273,20.86196
3,39.27113,20.44511
4,17.21634,30.46894
5,18.57478,27.48549
6,30.51867,16.0003
7,17.21634,28.22399
8,16.13192,28.22827
9,30.51867,14.46436
10,19.28263,20.86196
11,16.95878,22.2427
12,28.63313,11.3869
13,18.42412,17.33003
14,16.95878,18.28087
15,16.95878,18.16936
16,18.57478,16.15217
17,18.57478,15.05526
18,13.67162,20.44511
19,28.63313,9.05821
20,11.9201,20.86196
21,10.10987,23.97703
22,14.38674,14.78922
23,9.900418,20.86196
24,8.314242,23.97703
25,14.38674,13.43905
